上海,0.00,上海,小雨,34,1.0,一线城市,2026-07-22
北京,0.00,北京,小雨,27,1.0,一线城市,2026-07-22
广州,0.00,广东,雷阵雨,33,0.5682,一线城市,2026-07-22
深圳,0.00,广东,雷阵雨,32,1.0,一线城市,2026-07-22
东莞,0.00,广东,中雨,33,1.0,新一线城市,2026-07-22
佛山,0.00,广东,中雨,32,1.0,新一线城市,2026-07-22
南京,0.00,江苏,大雨,28,1.0,新一线城市,2026-07-22
合肥,0.00,安徽,中雨,28,0.9968,新一线城市,2026-07-22
天津,0.00,天津,中雨,30,1.0,新一线城市,2026-07-22
杭州,0.00,浙江,小雨,35,1.0,新一线城市,2026-07-22
武汉,0.00,湖北,中雨,30,1.0,新一线城市,2026-07-22
苏州,0.00,江苏,小雨,34,1.0,新一线城市,2026-07-22
西安,0.00,陕西,多云,37,1.0,新一线城市,2026-07-22
郑州,0.00,河南,晴,34,1.0,新一线城市,2026-07-22
长沙,0.00,湖南,雷阵雨,31,0.4762,新一线城市,2026-07-22
青岛,0.00,山东,多云,27,1.0,新一线城市,2026-07-22
中山,0.00,广东,中雨,32,1.0,二线城市,2026-07-22
临沂,0.00,山东,多云,31,1.0,二线城市,2026-07-22
五指山,0.00,海南,雷阵雨,33,1.0,二线城市,2026-07-22
保定,0.00,河北,雷阵雨,30,1.0,二线城市,2026-07-22
兰州,0.00,甘肃,晴,35,1.0,二线城市,2026-07-22
南宁,0.00,广西,阵雨,32,1.0,二线城市,2026-07-22
南昌,0.00,江西,雷阵雨,33,1.0,二线城市,2026-07-22
南通,0.00,江苏,小雨,31,0.9943,二线城市,2026-07-22
厦门,0.00,福建,晴,32,1.0,二线城市,2026-07-22
哈尔滨,0.00,黑龙江,多云,31,1.0,二线城市,2026-07-22
嘉兴,1.00,浙江,小雨,33,0.8095,二线城市,2026-07-22
太原,0.00,山西,小雨,28,1.0,二线城市,2026-07-22
常州,0.00,江苏,中雨,33,1.0,二线城市,2026-07-22
徐州,0.00,江苏,多云,31,0.9615,二线城市,2026-07-22
惠州,0.00,广东,晴,32,1.0,二线城市,2026-07-22
无锡,0.00,江苏,小雨,34,1.0,二线城市,2026-07-22
昆明,0.00,云南,小雨,27,1.0,二线城市,2026-07-22
沈阳,0.00,辽宁,多云,31,0.9923,二线城市,2026-07-22
泉州,0.00,福建,晴,33,1.0,二线城市,2026-07-22
济南,0.00,山东,多云,33,1.0,二线城市,2026-07-22
温州,0.00,浙江,晴,36,1.0,二线城市,2026-07-22
漳州,0.00,福建,晴,34,1.0,二线城市,2026-07-22
烟台,0.00,山东,多云,29,1.0,二线城市,2026-07-22
珠海,0.00,广东,中雨,31,1.0,二线城市,2026-07-22
石家庄,0.00,河北,雷阵雨,32,1.0,二线城市,2026-07-22
福州,0.00,福建,晴,36,1.0,二线城市,2026-07-22
贵阳,0.00,贵州,多云,31,1.0,二线城市,2026-07-22
金华,0.00,浙江,阴,34,1.0,二线城市,2026-07-22
长春,0.00,吉林,多云,30,1.0,二线城市,2026-07-22
三亚,0.00,海南,多云,34,1.0,三线城市,2026-07-22
上饶,0.00,江西,阵雨,34,1.0,三线城市,2026-07-22
九江,0.00,江西,雷阵雨,32,1.0,三线城市,2026-07-22
信阳,0.00,河南,阴,33,1.0,三线城市,2026-07-22
六安,0.00,安徽,大雨,28,1.0,三线城市,2026-07-22
南充,0.00,四川,晴,39,1.0,三线城市,2026-07-22
南阳,0.00,河南,晴,35,1.0,三线城市,2026-07-22
台州,0.00,浙江,晴,35,0.9825,三线城市,2026-07-22
周口,0.00,河南,晴,38,1.0,三线城市,2026-07-22
咸阳,0.00,陕西,多云,35,1.0,三线城市,2026-07-22
唐山,0.00,河北,雷阵雨,29,1.0,三线城市,2026-07-22
商丘,0.00,河南,晴,33,1.0,三线城市,2026-07-22
威海,0.00,山东,晴,28,1.0,三线城市,2026-07-22
宁德,0.00,福建,晴,36,1.0,三线城市,2026-07-22
安庆,0.00,安徽,小雨,29,1.0,三线城市,2026-07-22
宜昌,0.00,湖北,阴,32,1.0,三线城市,2026-07-22
宜春,0.00,江西,中雨,33,1.0,三线城市,2026-07-22
宿州,0.00,安徽,小雨,28,1.0,三线城市,2026-07-22
宿迁,0.00,江苏,小雨,28,1.0,三线城市,2026-07-22
岳阳,0.00,湖南,中雨,29,1.0,三线城市,2026-07-22
廊坊,0.00,河北,大雨,28,1.0,三线城市,2026-07-22
开封,0.00,河南,晴,34,0.9706,三线城市,2026-07-22
德州,0.00,山东,雷阵雨,33,1.0,三线城市,2026-07-22
扬州,0.00,江苏,中雨,30,1.0,三线城市,2026-07-22
揭阳,0.00,广东,多云,34,1.0,三线城市,2026-07-22
新乡,0.00,河南,多云,33,1.0,三线城市,2026-07-22
枣庄,0.00,山东,多云,32,1.0,三线城市,2026-07-22
柳州,0.00,广西,阵雨,32,1.0,三线城市,2026-07-22
株洲,0.00,湖南,中雨,33,1.0,三线城市,2026-07-22
桂林,0.00,广西,阵雨,30,1.0,三线城市,2026-07-22
汕头,0.00,广东,晴,34,1.0,三线城市,2026-07-22
江门,0.00,广东,多云,32,1.0,三线城市,2026-07-22
沧州,0.00,河北,大雨,30,1.0,三线城市,2026-07-22
泰安,0.00,山东,多云,33,1.0,三线城市,2026-07-22
洛阳,0.00,河南,晴,33,1.0,三线城市,2026-07-22
